@relation 'stars-weka.filters.unsupervised.attribute.Remove-R2,11-12,18-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R8-11-weka.filters.unsupervised.attribute.Remove-R1'

@attribute contextsize numeric
@attribute samevpos numeric
@attribute hpos {left,right}
@attribute samehpos numeric
@attribute sametypelandmark numeric
@attribute abs {0,1}
@attribute referencetype {fully-spec,under-spec,others}

@data
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,fully-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,others
12,3,right,3,6,1,others
8,3,left,3,2,0,others
10,3,right,3,4,0,others
12,6,left,8,6,0,others
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,others
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,fully-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,others
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,under-spec
10,2,left,3,4,1,under-spec
12,3,right,3,6,1,under-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,fully-spec
10,3,right,3,4,0,fully-spec
12,6,left,8,6,0,fully-spec
8,3,right,3,2,1,fully-spec
10,2,left,3,4,1,fully-spec
12,3,right,3,6,1,fully-spec
8,3,left,3,2,0,under-spec
10,3,right,3,4,0,under-spec
12,6,left,8,6,0,under-spec
